;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
40442;202200044908;3;RD 43;-1;;2;2;0;1;72;216;1;; -1;1;0;1;80
40443;202200044909;4;;-1;;2;2;0;1;(1);(1);1;;4;1;0;1;50
40444;202200044910;3;121;-1;;2;2;0;1;1;100;1;; -1;1;0;1;80
40445;202200044911;4;BOULEVARD DE ROCHECHOUART;0;;3;2;0;1;(1);(1);1;; -1;2;0;1;30
40446;202200044912;4;;-1;;2;2;0;1;(1);(1);1;;4;2;0;1;50
40447;202200044913;3;50;0; -;2;2;0;1;19;4;1;; -1;1;5;8;50
40448;202200044914;1;A50;0;;3;6;0;1;67;500;1;; -1;1;0;1;70
40449;202200044915;4;RUE JACQUES IBERT;0;;1;2;0;1;(1);(1);1;; -1;2;0;1;30
40450;202200044916;3;520;0;;2;1;0;1;20;650;1;; -1;1;0;3;80
40451;202200044917;3;155;0;D;2;3;0;1;32;300;1;; -1;1;0;1;50
40452;202200044918;3;603;0;D;2;2;0;1;47;450;1;; -1;1;0;1;80
40453;202200044919;4;RUE CLAUDE DEBUSSY;0;;1;1;0;1;(1);(1);1;; -1;2;0;1;30
40454;202200044920;1;A47;0;;3;4;0;1;1;500;1;; -1;1;0;1;70
40455;202200044921;3;;-1;;2;2;0;1;17;240;1;;5;1;0;1;50
40456;202200044922;3;81;0;D;2;2;0;1;8;480;3;; -1;1;0;1;30
40457;202200044923;2;122;-1;;2;2;0;1;33;1162;1;; -1;1;5;1;80
40458;202200044924;4;AVENUE DES TERNES;0;;2;4;0;1;(1);(1);1;; -1;2;0;1;30
40459;202200044925;1;AUTOROUTE A6;0;;1;3;0;1;15;947;1;; -1;2;0;1;110
40460;202200044926;3;938;-1;;2;2;0;2;4;40;1;; -1;1;2;1;80
40461;202200044927;3;83;-1;;-1;2;0;1;6;342;2;; -1;1;0;1;110
40462;202200044928;3;45;-1;;2;2;0;1;8;675;1;; -1;1;4;1;80
40463;202200044929;4;RUE ANTOINE CHANTIN;0;;1;1;0;1;(1);(1);1;; -1;2;0;1;30
40464;202200044930;3;120;0;D;2;2;0;1;9;0;2;; -1;1;0;4;50
40465;202200044931;3;562;-1;;2;2;0;1;75;685;1;; -1;1;0;1;50
40466;202200044932;1;A13;0;;3;3;0;2;45;500;1;; -1;1;2;1;110
40467;202200044933;4;RUE LAROCHELLE;0;;1;1;0;1;(1);(1);1;; -1;2;0;4;30
40468;202200044934;3;377;0;;2;2;0;2;0;205;1;; -1;1;5;1;50
40469;202200044935;1;A50;0;;3;4;0;2;59;900;1;; -1;2;0;1;110
40470;202200044936;2;4;-1;;3;4;0;1;7;375;1;; -1;1;0;1;110
40471;202200044937;1;AUTOROUTE A3;0;;3;3;0;1;12;500;1;; -1;1;0;1;90
40472;202200044938;4;AVENUE DES GOBELINS;0;;2;4;3;2;(1);(1);1;; -1;2;0;6;30
40473;202200044939;4;BOULEVARD DU GENERAL JEAN SIMON;0;;2;4;0;2;(1);(1);2;; -1;1;0;1;50
40474;202200044940;1;A50;0;;1;3;0;1;61;849;1;; -1;2;0;1;110
40475;202200044941;3;643;0;D;2;2;0;1;27;420;1;; -1;1;0;1;80
40476;202200044942;3;CAMBUSTON (rue de);0;;2;2;0;1;0;800;1;; -1;2;0;1;50
40477;202200044943;4;BOULEVARD MALESHERBES;0;;2;4;0;1;(1);(1);1;; -1;2;0;1;30
40478;202200044944;3;677;-1;;2;2;0;1;4;500;1;; -1;1;0;1;50
40479;202200044945;1;A43   15.971 A 18.875;0;;1;3;0;2;18;799;1;; -1;1;0;1;130
40480;202200044946;3;122;0;;2;2;0;1;1;480;1;;4;1;0;1;70
40481;202200044947;2;RN2 DIRECTION ST BENT SORTIE PETIT BAZAR;0;;2;4;0;1;28;0;3;; -1;2;0;1;90
40482;202200044948;4;PLACE DE LA CONCORDE;0;;2;6;0;1;(1);(1);1;; -1;1;0;1;30
40483;202200044949;1;AUTOROUTE A6;0;;3;6;0;1;33;750;1;; -1;1;0;1;110
40484;202200044950;4;PAUL BERT                           (R );0;;2;2;0;1;(1);(1);2;; -1;1;0;1;50
40485;202200044951;2;94;0;N;2;2;0;2;111;540;1;; -1;1;0;1;80
40486;202200044952;3;459;-1;;2;2;0;2;1;300;1;; -1;1;0;1;80
