;Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
78639;201300051460;0;10;0;0.0;1.0;4.0;4.0;A01
78640;201300051462;0;2;0;0.0;2.0;1.0;17.0;A01
78641;201300051462;0;1;0;0.0;2.0;4.0;15.0;B01
78642;201300051463;0;7;0;0.0;0.0;4.0;23.0;B01
78643;201300051463;0;7;0;0.0;2.0;1.0;1.0;A01
78644;201300051464;1;7;0;0.0;9.0;0.0;1.0;Z01
78645;201300051464;0;1;0;0.0;2.0;3.0;1.0;B01
78646;201300051466;0;10;0;0.0;2.0;1.0;15.0;B01
78647;201300051466;0;32;0;0.0;2.0;3.0;7.0;A01
78648;201300051467;0;7;0;0.0;9.0;2.0;16.0;B01
78649;201300051467;0;1;0;0.0;2.0;1.0;18.0;A01
78650;201300051468;0;33;0;0.0;0.0;0.0;1.0;A01
78651;201300051469;0;7;0;0.0;0.0;0.0;10.0;A01
78652;201300051469;0;32;0;0.0;2.0;1.0;1.0;B01
78653;201300051470;0;32;0;12.0;0.0;8.0;1.0;A01
78654;201300051471;0;34;0;14.0;0.0;1.0;1.0;A01
78655;201300051472;0;7;0;0.0;1.0;1.0;1.0;A01
78656;201300051473;0;7;0;0.0;2.0;1.0;1.0;A01
78657;201300051473;0;7;0;0.0;0.0;4.0;23.0;B01
78658;201300051474;0;32;0;0.0;1.0;1.0;15.0;A01
78659;201300051475;0;7;0;0.0;2.0;7.0;22.0;A01
78660;201300051475;0;32;0;0.0;2.0;1.0;18.0;B01
78661;201300051476;0;7;0;0.0;2.0;3.0;10.0;A01
78662;201300051476;0;30;0;0.0;2.0;7.0;1.0;B01
78663;201300051477;0;7;0;0.0;2.0;7.0;1.0;A01
78664;201300051477;0;1;0;0.0;2.0;1.0;1.0;B01
78665;201300051478;0;32;0;0.0;2.0;1.0;1.0;A01
78666;201300051478;0;1;0;0.0;2.0;8.0;19.0;B01
78667;201300051479;0;7;0;0.0;2.0;3.0;15.0;B01
